Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "esp32 gps pcb.brd" as of: 26.01.2023 00:03
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
BOOT,Bottom,1.293,0.923,90
C1,Bottom,0.336,0.895,90
C2,Bottom,0.417,0.893,90
C3,Bottom,0.677,0.551,90
C4,Bottom,0.618,0.551,90
C5,Bottom,0.559,0.551,90
C6,Bottom,1.199,0.644,180
C7,Bottom,1.199,0.509,180
C8,Bottom,1.199,0.454,0
C9,Bottom,1.199,0.589,0
C10,Top,0.059,1.142,270
C11,Top,0.846,1.181,90
C12,Top,0.924,0.342,270
C13,Top,0.866,0.342,270
C14,Top,0.075,0.870,270
C15,Top,0.419,1.201,180
C16,Top,0.539,1.201,0
C17,Top,0.865,0.823,270
C18,Bottom,0.630,1.003,180
C19,Bottom,0.304,1.117,0
D1,Bottom,0.193,0.818,90
D2,Bottom,1.311,0.083,0
ERR,Top,0.937,0.611,0
IC1,Bottom,0.618,0.748,180
J2,Top,1.321,0.362,90
L1,Bottom,0.292,0.515,180
L2,Top,0.301,1.201,180
L3,Top,0.664,1.201,0
PRI,Top,0.277,1.319,270
PVT,Top,1.003,0.611,0
R1,Top,1.301,0.650,270
R2,Bottom,0.897,0.984,90
R3,Top,1.228,0.429,0
R4,Top,1.228,0.310,0
R5,Top,0.843,0.485,0
R6,Top,0.844,0.435,0
R7,Top,1.003,0.493,90
R8,Top,0.937,0.493,90
R9,Bottom,1.033,1.082,0
RESET,Bottom,1.032,0.923,90
SEC,Top,0.693,1.319,270
U$9,Top,0.689,1.122,270
U1,Bottom,0.959,0.525,0
U2,Top,1.167,1.037,0
